ticker,gemeinsame_gap_tage,gap_tage_gesamt,gemeinsame_daten
AFGB,2,109,"2026-04-08, 2026-08-27"
BIII,2,29,"2026-04-08, 2026-08-27"
CRACR,2,31,"2026-04-08, 2026-08-27"
CRWD,2,31,"2026-04-08, 2026-08-27"
DMII,2,52,"2026-04-08, 2026-08-27"
ENLT,2,141,"2026-04-08, 2026-08-27"
HIND,2,63,"2026-04-08, 2026-08-27"
INAC,2,77,"2026-04-08, 2026-08-27"
KC,2,89,"2026-04-08, 2026-08-27"
KEN,2,649,"2026-04-08, 2026-08-27"
MDRR,2,249,"2026-04-08, 2026-08-27"
NVDY,2,25,"2026-04-08, 2026-08-27"
OACC,2,72,"2026-04-08, 2026-08-27"
PAHC,2,27,"2026-04-08, 2026-08-27"
PHOE,2,28,"2026-04-08, 2026-08-27"
RYET,2,15,"2026-04-08, 2026-08-27"
VNCE,2,101,"2026-04-08, 2026-08-27"
2577,1,11,2026-04-08
AACIU,1,20,2026-04-08
AACOU,1,17,2026-04-08
AAL,1,84,2026-04-08
AAMI,1,41,2026-04-08
AAON,1,40,2026-04-08
AAPB,1,88,2026-04-08
ABAT,1,11,2026-04-08
ABCB,1,50,2026-04-08
ABCL,1,15,2026-04-08
ABG,1,73,2026-04-08
ABM,1,63,2026-04-08
ABNB,1,25,2026-04-08
ABTC,1,42,2026-04-08
ACAD,1,67,2026-04-08
ACB,1,27,2026-04-08
ACEL,1,104,2026-04-08
ACHR,1,31,2026-04-08
ACIW,1,47,2026-04-08
ACLS,1,64,2026-04-08
ACMR,1,44,2026-04-08
ACNB,1,301,2026-04-08
ADAC,1,24,2026-08-27
ADAM,1,80,2026-04-08
ADAMI,1,54,2026-04-08
ADCT,1,11,2026-04-08
ADEA,1,27,2026-04-08
ADI,1,82,2026-04-08
ADNT,1,44,2026-04-08
ADPT,1,11,2026-04-08
AEAQ,1,29,2026-08-27
AEHR,1,185,2026-04-08
AEI,1,41,2026-04-08
AEIS,1,67,2026-04-08
AEO,1,80,2026-04-08
AEVA,1,62,2026-04-08
AFJK,1,111,2026-04-08
AFRI,1,152,2026-04-08
AFRM,1,31,2026-04-08
AGBK,1,1,2026-04-08
AGCO,1,78,2026-04-08
AGI,1,46,2026-04-08
AGNC,1,41,2026-04-08
AIMD,1,34,2026-04-08
AIOT,1,109,2026-04-08
AIP,1,14,2026-04-08
AIRT,1,502,2026-04-08
AISP,1,145,2026-04-08
AIT,1,72,2026-04-08
AKR,1,46,2026-04-08
ALAB,1,13,2026-04-08
ALDF,1,102,2026-08-27
ALF,1,128,2026-08-27
ALGM,1,17,2026-04-08
ALGN,1,78,2026-04-08
ALGT,1,43,2026-04-08
ALLT,1,90,2026-04-08
ALLY,1,55,2026-04-08
ALNT,1,142,2026-04-08
ALPX,1,12,2026-08-27
ALSN,1,48,2026-04-08
ALTG,1,64,2026-04-08
ALTR,1,23,2026-04-08
ALTS,1,245,2026-04-08
ALUB,1,33,2026-08-27
AMAL,1,24,2026-04-08
AMAT,1,111,2026-04-08
AMBA,1,49,2026-04-08
AMBP,1,41,2026-04-08
AMCI,1,135,2026-04-08
AMCR,1,29,2026-04-08
AMD,1,81,2026-04-08
AMKR,1,67,2026-04-08
AMPG,1,26,2026-04-08
AMRC,1,53,2026-04-08
AMRX,1,22,2026-04-08
AMRZ,1,10,2026-04-08
AMSC,1,56,2026-04-08
AMTB,1,35,2026-04-08
AMTD,1,71,2026-08-27
AMWD,1,60,2026-04-08
AMZN,1,94,2026-04-08
AOMR,1,14,2026-04-08
AOSL,1,40,2026-04-08
APADU,1,27,2026-04-08
APAM,1,36,2026-04-08
APH,1,93,2026-04-08
APLD,1,15,2026-04-08
APLE,1,19,2026-04-08
APLM,1,106,2026-04-08
APOG,1,60,2026-04-08
APP,1,27,2026-04-08
APPS,1,49,2026-04-08
APTV,1,72,2026-04-08
APXTU,1,46,2026-04-08
AQB,1,55,2026-04-08
ARBE,1,73,2026-04-08
ARCB,1,53,2026-04-08
ARCO,1,45,2026-04-08
ARDT,1,8,2026-04-08
ARHS,1,15,2026-04-08
ARLO,1,26,2026-04-08
ARM,1,18,2026-04-08
