rank,ticker,market_cap,close
1,NVDA,5490544860000.0,227.38
2,AAPL,4947135136400.0,338.98
3,GOOGL,4341259966960.0703,354.97
4,GOOG,4291117234152.97,350.87
5,MSFT,3724727873740.5103,501.61
6,AMZN,2787722742683.4,258.45
7,TSM,2308707042146.82,445.14
8,SPCX,2001653284648.25,151.85
9,META,1888326251750.125,741.245
10,AVGO,1731204606840.9001,362.66
11,TSLA,1482265136968.2,375.3
12,SKHY,1340631947142.6,188.86
13,MU,1179041273917.96,1043.96
14,BRK.B,1074657723685.94,502.01
15,LLY,1038780646435.3401,1164.89
16,AMD,1004821037851.84,615.52
17,JPM,935787868087.8,352.04
18,WMT,852401696133.04,107.44
19,SPY,709904389376.0,773.5
20,ASMLF,661781254000.0,1722.94
21,ASML,657318012000.0,1711.32
22,JNJ,649395374933.5901,269.47
23,INTC,643741898806.36,121.78
24,MA,497267042441.0,567.65
25,ABBV,467367179536.80005,264.48
26,PLTR,439975977103.2,183.09
27,CSCO,439440732864.57996,111.46
28,ORCL,427922771760.0,148.56
29,BAC,405299695235.4,57.96
30,CVX,399519738815.57996,203.67
31,COST,398456835817.92,898.48
32,LRCX,378249311879.99994,302.28
33,CAT,375324546868.5,816.5
34,MRK,368842159881.0,149.5
35,AMAT,368419676938.32,464.24
36,DELL,365789433202.49994,575.31
37,ARM,344856737930.1,322.9
38,QH,340670531592.45,3.87
39,UNH,338895910433.32,377.56
40,NFLX,305466614631.36,73.36
41,PANW,304099680000.0,371.76
42,HD,296513356847.2,297.2
43,BABAF,291613362482.47,14.665
44,QQQ,291471857000.0,741.47
45,ACGBY,290485918116.25,20.75
46,BABA,287710933436.25,115.75
47,SHEL,266696901149.69998,93.27
48,WFC,261696902537.44003,86.54
49,AZN,260703910040.19998,168.1
50,ANET,259080767192.15997,205.42
51,SNDK,258669663926.64,1766.64
52,CRWD,255318152852.69998,249.35
53,BACHY,248103557105.25,19.25
54,TXN,247371400706.82,270.87
55,TMO,243574722125.36,658.76
56,KLAC,240365411668.51,183.97
57,MRVL,231308593293.94,257.38
58,C,226537837544.15002,135.05
59,BHP,218795746407.09,86.09
60,BHPLF,218567013486.0,43.0
61,IBM,218509229072.7,231.93
62,AMGN,212554879085.80002,393.16
63,AXP,211770410530.46997,313.59
64,LIN,210898424572.5,457.5
65,QCOM,207449388390.00998,194.23
66,BCDRF,206539990407.30002,14.23
67,STX,199497576007.55002,877.325
68,APH,199052849298.08,80.72
69,VZ,198099681631.36,47.68
70,CRM,194573660000.0,236.42
71,ALIZY,193322211819.0,50.97
72,ALIZF,189658306450.80002,500.04
73,GILD,186687648136.8,150.56
74,ADI,185588573095.0,383.0
75,SCHW,184831401112.32,106.88
76,ABBNY,181724107287.66,100.33
77,ABLZF,180601123668.41998,99.71
78,DIS,179972575795.46002,104.23
79,ABT,178194871822.08002,102.98
80,SHOP,177453930963.52,137.92
81,TMUS,177280437480.51,165.27
82,PEP,176876297001.22,129.59
83,NVO,175873219935.19998,39.8
84,MCD,175410182704.28,247.88
85,WELL,167720341280.36,232.76
86,SCCO,167230710449.16,198.06
87,NEE,166106444782.66998,79.63
88,WDC,161583634872.48,448.17
89,UNP,160180576525.74,269.63
90,BBVA,159534206136.27,28.91
91,BA,158982929523.0,201.15
92,PFE,158108945358.86,27.74
93,BBVXF,156554321275.89,28.37
94,ATEYY,155580860509.5,215.5
95,DHR,151732509895.36002,215.84
96,ADTTF,148036452192.45,205.05
97,UBER,144694958971.64,70.84
98,TJX,144672094248.16,130.96
99,ISRG,143902373962.69998,401.65
100,NOW,142342120160.0,137.68
101,GLW,136665221418.49998,158.98
102,BKNG,130582514034.72,168.52
103,VRTX,129447563105.28001,510.72
104,PLD,129074278585.04,135.82
105,FTNT,128568643415.18999,175.23
106,BMY,127914791758.72,62.62
107,NET,125222553374.05,351.67
108,LMT,123565369156.2,535.4
109,PGR,123332664000.0,212.24
110,AIQUY,121267109349.37502,38.005
111,AIQUF,120356130275.0625,188.5975
112,SNOW,119736792000.0,339.39
113,SPGI,119237756000.00002,404.47
114,MPC,117469463191.3,402.38
115,MDT,117360901407.5,91.75
116,BNS,116215440500.0,95.35
117,ACN,113888545905.99,186.11
118,ASX,113697999999.99998,43.73
119,VLO,113233232587.47,393.27
120,CVS,112037804324.4,87.6
121,APP,110917151648.57,330.17
122,HOOD,110856844260.9,123.3
123,SBUX,108186000000.0,94.9
124,AXAHY,107388711620.16,51.36
125,ADP,107237103225.78,269.94
126,ENB,105274036399.8,48.2
127,SYK,105171893482.74,274.19
128,PSX,104443724763.0,261.75
129,EQIX,104321626740.36,1057.26
130,GLD,103698314000.0,398.38
131,FCX,103623024459.68,72.16
132,AAGIY,102181392655.81,39.67
133,ITOCF,101353733947.0,14.5
134,ATLKY,100548373616.28,20.61
135,AEM,99996933342.72,197.48
136,ADBE,99184200000.0,249.52
137,CME,99074874334.38998,275.53
138,ABNB,98366475184.88,166.84
139,AAIGF,98147713278.472,9.526
140,USB,94168629396.23999,60.44
141,PNC,93053610327.75,233.25
142,CEG,92867507109.69,262.11
143,MELI,92292007136.94,1820.47
144,HWM,90675474090.63,227.37
145,KKR,90508597648.83,100.83
146,MAR,89354176246.08,342.66
147,DDOG,87991334631.2,245.05
148,JCI,87941546614.6,145.18
149,WMB,87639949368.8,71.65
150,ICE,87223861445.19,155.37
151,ATLCY,87180952766.76001,17.87
152,BCLYF,86531753934.54,6.46
153,MNST,86198277616.0,44.0
154,LITE,85617753000.0,954.49
155,CSX,85195321432.83,45.99
156,MMM,85078727132.49,164.97
157,BCS,84723427801.1,25.3
158,DASH,83986139128.71,193.83
159,EPD,83075086691.43,38.47
160,MRSH,82423930208.96,172.72
161,ANZGY,82201128063.6,27.3
162,REGN,82175582771.95999,798.17
163,HPE,81970950103.25,61.75
164,BAESF,81830480855.5,27.95
165,CMCSA,81370236618.89,22.93
166,AMT,81356624380.8,174.6
167,INTU,81271812320.0,304.12
168,CDNS,81213395700.0,294.9
169,MCO,80913619344.48001,467.22
170,BE,80373567449.94,272.89
171,BAESY,80271456543.41,109.67
172,IWM,80262254430.72,285.58
173,ARZGY,79209971347.5,26.25
174,CTAS,78785383169.68,196.88
175,SHW,78000621497.81,321.31
176,WBD,77219810421.6,30.8
177,SNPS,77009186195.1,401.85
178,SLB,76819253636.56,51.76
179,MDLZ,76795455789.69,60.17
180,MSI,76352214031.68001,461.36
181,ITW,76189696000.0,267.52
182,ECL,75683116237.94,269.98
183,APO,75536375467.69,127.91
184,EOG,74157934902.88,141.38
185,MFC,73969335755.52,44.58
186,ROST,73873531687.5,231.25
187,BAM,73824970477.26,46.22
188,RACE,73094253186.24,416.13
189,CNI,71081799000.0,117.51
190,BHKLY,70768904670.31,133.87
191,KMI,70634162263.08,31.72
192,B,70262805847.11,42.69
193,FDX,70004747968.65001,295.79
194,DLR,69128192801.91,186.33
195,HLT,69112932562.8,307.08
196,MRNA,69043854643.66,172.94
197,NU,67919482545.54,14.06
198,AMX,67149297000.0,22.45
199,WPM,67061260874.88,147.66
200,ORLY,67046670440.96,82.88
201,MSTR,66941959710.0,168.5
202,RCL,66929884021.0,250.25
203,SPG,66323229384.7,204.98
204,RSG,65508142383.54,213.93
205,HON,65441773264.799995,206.48
206,AEP,65344014160.56,120.03
207,URI,64104784270.880005,1029.92
208,BSX,63360314876.72,43.72
209,NBIS,63287894750.4,232.8
210,TRP,63006061870.079994,60.48
211,COHR,62963983733.92,321.52
212,SE,62871536183.3,102.65
213,MPWR,62789028240.0,1277.68
214,APD,62231698213.799995,279.46
215,TRGP,62047760236.560005,289.36
216,ARGX,61822773282.600006,988.2
217,AON,61690318715.88,290.82
218,ALL,61409081737.0,242.86
219,TDG,61337595966.25001,1109.65
220,CSLLY,61252428733.36,31.91
221,AJG,60652844010.0,236.61
222,PCAR,60389851057.69,114.73
223,VALE,60219043719.05,14.15
224,GWW,60185112678.18,1277.79
225,MPLX,59908884051.590004,59.09
226,TFC,59859683212.0,49.0
227,AAUKF,59858674159.155,55.865
228,TER,59650249755.0,381.54
229,ALAB,59113314336.96,340.74
230,NXPI,58605475679.34,232.41
231,KEYS,58228810132.35,342.03
232,CVE,58222814650.0,31.57
233,OKE,57867935430.6,91.8
234,AFL,57744721063.64001,115.18
235,FIX,57457909582.11,1632.59
236,BKR,57406341525.93,57.83
237,OXY,57229239489.75,57.25
238,FAST,56973254499.45,49.65
239,PSA,55433470357.65,296.67
240,AME,55304689890.119995,241.23
241,BAYRY,55172936445.119995,14.04
242,NUE,54994663862.4,242.4
243,GRMN,54058494366.16,280.31
244,HONA,53574519106.75,169.03
245,NKE,53554303178.3,36.1
246,NTRA,53425595168.799995,370.64
247,COIN,53044413369.15,201.05
248,FANG,52999346031.840004,189.27
249,NDAQ,52929567354.68,94.69
250,EA,52925639106.77475,209.6999969482422
251,CTVA,52781875560.0,79.11
252,F,52516634934.39,13.17
253,CAH,52503970596.0,225.75
254,DVN,52349000000.0,47.59
255,AMKBF,52298980917.855,3628.145
256,ANCTF,52057659556.39,56.71
257,AMKBY,52008594792.0,18.04
258,CIEN,51896247809.0,365.96
259,AU,51553060264.08,101.93
260,BASFY,50828829153.12,14.76
261,FNV,50466435090.4,261.68
262,ANFGF,49539298923.75,50.25
263,TEAM,49531671931.049995,195.67
264,CBRS,49529726908.090004,208.49
265,XLF,49384575052.799995,55.9
266,BDX,49220294760.0,180.7
267,CVNA,48363984759.700005,67.18
268,FITB,48346442586.840004,53.31
269,EBAY,48193500000.0,108.3
270,AMP,47321872082.68,535.72
271,VST,47250722752.1,140.78
272,CRWV,47117771908.86,85.43
273,BSQKZ,46892051583.480835,78.05000305175781
274,ASMIY,46444037977.26,951.39
275,WDAY,46252720000.0,191.92
276,STM,46050248216.04,51.63
277,LHX,45981975128.880005,246.93
278,ABEV,45941129841.52,2.98
279,ASMXF,45910467795.64,940.46
280,AZO,45764051403.75,2803.25
281,ADSK,45739650000.0,218.85
282,A,45655558616.76,161.94
283,SLF,45282726981.44,81.44
284,FJTSF,45137294664.074,26.099
285,PYPL,45014351189.88,52.62
286,XEL,44879974886.1,71.85
287,ANNSF,44725959811.0,29.3
288,RKLB,44680798049.48,69.89
289,IQV,44422248000.0,269.88
290,ANYYY,44400000000.0,14.8
291,CCEP,44322240124.71,100.53
292,EXC,43250061534.659996,41.98
293,VEEV,42308401593.5,261.31
294,IBKR,42231416318.909996,93.21
295,CMG,41935952520.0,33.14
296,FERG,41812870252.38,216.14
297,KDP,41668493283.56,30.62
298,CBRE,41470078426.58,143.21
299,TRI,41342621478.54,95.43
300,RVMD,41315487933.68,192.76
301,FLEX,41229066374.58,111.61
302,AAVMY,41072759935.2,50.4
303,PAYX,40941314199.73,115.01
304,PRU,40892850000.0,118.53
305,TWLO,40860223033.2,266.06
306,BAMXF,40703134680.0,68.0
307,MCHP,40606189912.98,74.78
308,CCJ,40604739632.17,93.23
309,IDXX,40595909074.799995,515.3
310,FER,40320488072.25,55.95
311,ADM,40185535221.259995,83.38
312,ASAZY,40010163550.68,18.01
313,ABMRF,39931849937.0,49.0
314,LYV,39412089055.9,169.18
315,TTWO,39250934594.56,209.92
316,WCN,39131595904.200005,155.55
317,AIG,38976456817.26,74.54
318,NTAP,38920425840.75,198.15
319,PCG,38850627763.64,12.94
320,YUM,38023308173.05,139.33
321,SYY,37575500534.880005,78.43
322,GFI,37556634494.6,41.99
323,BBD,37208906338.56,3.52
324,UAL,37127531185.92,114.39
325,JD,36841640000.0,27.28
326,AXON,36724185824.9,452.06
327,RBLX,36611766976.25,51.25
328,ODFL,36362057233.920006,175.36
329,ROP,36138379359.6,365.4
330,ILMN,36061820000.0,238.82
331,MLM,35486254603.94,499.67
332,CRDO,35197755683.86,187.27
333,ESLT,35178228222.48,750.69
334,RKT,34999100323.56,12.36
335,BKHYY,34841694596.94,133.485
336,IRM,34798481694.68,116.89
337,BBDO,34249106970.72,3.24
338,AVIFY,34001423381.295002,10.095
339,KVUE,33940067161.890003,17.67
340,ZS,33773519596.739998,207.13
341,HSY,33735417810.3,167.9
342,EXPE,33728604078.539997,281.02
343,WEC,33718894152.84,103.48
344,DXCM,33649259415.05,89.17
345,FINMF,33487653636.4887,58.04901
346,ERIC,33473251354.75,10.25
347,OKTA,33448488154.24,191.33
348,KGC,32965631526.309998,27.79
349,STLD,32964026959.120003,229.99
350,MTB,32776714823.52,226.96
351,MDB,32759923867.100002,407.3
352,TECK,32752456000.000004,66.76
353,NTRS,32739914104.35,178.95
354,ALNY,32692243709.76,244.32
355,ACGL,32682925688.28,95.78
356,KMB,32506275174.12,97.74
357,HBAN,32407453809.039997,16.04
358,BIIB,32368468341.86,219.07
359,ADYEY,32324277248.0,10.24
360,RMD,32256258144.660004,223.61
361,ADRNY,32154441563.199997,36.8
362,CQP,31952649041.04,66.01
363,VMC,31902285541.8,246.2
364,JBL,31820695316.63,303.67
365,ADYYF,31787328072.23,1006.99
366,RJF,31776231040.09,165.19
367,BIDU,31443478600.749996,92.21
368,ALC,31358158000.000004,64.87
369,EQT,31357117080.0,50.13
370,BAP,30971151050.49,389.97
371,RDDT,30539098032.3,158.73
372,AJNMY,30078536311.670002,31.57
373,SUNB,29851372746.449997,72.85
374,HPQ,29714012428.550003,32.95
375,BRDCF,29577836723.64,23.96
376,ZTS,29475239530.66,71.33
377,GEHC,29273785992.120003,64.81
378,EXR,29041113442.68,137.46
379,AVVIY,29013152660.199997,19.4
380,KHC,28898524982.460003,24.37
381,ADDYY,28857364974.36,82.42
382,ARES,28810794205.510002,126.67
383,MTD,28661095455.960003,1430.44
384,ACSAY,28495967668.0,21.85
385,WTW,28494967710.34,306.82
386,CFG,28370468439.68,67.36
387,CBOE,28345711487.170002,271.43
388,AIBGY,28322702500.0,27.05
389,TDY,28234313310.84,609.08
390,AEE,28190948249.329998,101.83
391,ROIV,28163374354.850002,38.99
392,MDLN,28040144927.280003,31.96
393,FTI,27965242508.280003,71.31
394,ON,27921930924.36,71.72
395,VRSN,27859472000.0,308.18
396,ALPMY,27271739091.870003,15.21
397,FOXA,27240144070.04,64.79
398,SMCI,27066973820.800003,41.2
399,DGX,27028228396.8,244.88
400,PBA,26972769650.0,46.39
401,CPRT,26765209944.62,28.91
402,CTSH,26747377130.420002,59.38
403,ATO,26745818283.31,158.27
