series,days,rs_from,rs_to,n,hit_rate,mean_excess,median_excess,p25_excess,mean_max_rel_dd,mean_min_rel
ibd_rs_prod,10,20,70,179,0.5977653631284916,0.20095026173334482,0.05701750181074572,-0.13100874822170175,-0.24791738656160148,-0.1392030495701142
ibd_rs_prod,10,20,80,74,0.5,0.2509296013451694,0.0043663901246637216,-0.13806667869550682,-0.280299808386324,-0.15858757149014016
ibd_rs_prod,10,20,90,20,0.3,0.1320767587458757,-0.12028348481717921,-0.19151389290824156,-0.34936892508827216,-0.2090417855957591
ibd_rs_prod,10,30,70,547,0.5722120658135283,0.15539948487455135,0.05241615763245544,-0.1202637699641336,-0.21442251264212422,-0.13084546121017243
ibd_rs_prod,10,30,80,200,0.57,0.19907355618380454,0.06393218505832299,-0.14097032336614224,-0.24954564258641757,-0.1522647080725184
ibd_rs_prod,10,30,90,42,0.5,0.1313854794809736,-0.006249658008635528,-0.1830524993741379,-0.28880346610478147,-0.18536369692529062
ibd_rs_prod,10,40,70,1036,0.5164092664092664,0.10557817160808658,0.008269135024027596,-0.1252429771188326,-0.20077506832220268,-0.12594893689250028
ibd_rs_prod,10,40,80,359,0.5766016713091922,0.18915005636499432,0.061752944767726414,-0.12424337684263131,-0.22420780764765927,-0.13738901813909757
ibd_rs_prod,10,40,90,65,0.5384615384615384,0.18965491840994192,0.004561087354248983,-0.18255227532595086,-0.27072624281514446,-0.16335159237118457
ibd_rs_prod,20,20,70,428,0.5817757009345794,0.2048109399332323,0.05405092217230223,-0.1064604167494867,-0.22689315086624096,-0.13139126235810716
ibd_rs_prod,20,20,80,197,0.5634517766497462,0.26543068351527216,0.04535703862570517,-0.1349214132002734,-0.2551665553543787,-0.14878564974306938
ibd_rs_prod,20,20,90,57,0.5087719298245614,0.28531806083395816,0.0013134895831627968,-0.2071815775462249,-0.2855710831765174,-0.18370963842936947
ibd_rs_prod,20,30,70,1196,0.5209030100334449,0.1035029001271023,0.011768283419060332,-0.12256540548759584,-0.2002492090263031,-0.1255527697533783
ibd_rs_prod,20,30,80,482,0.5684647302904564,0.16874264785711465,0.05283754969908783,-0.13336913156424912,-0.2231856061638629,-0.13682898040123195
ibd_rs_prod,20,30,90,108,0.6203703703703703,0.2823805385944813,0.12464598126786652,-0.1537755919294462,-0.2537616193500439,-0.15098466304780622
ibd_rs_prod,20,40,70,1894,0.4963041182682154,0.0699491437658957,-0.00079112397601655,-0.12463683893440902,-0.18853339398325772,-0.12100572687868023
ibd_rs_prod,20,40,80,754,0.5450928381962865,0.12633399884388308,0.0335147562704613,-0.13294902430297145,-0.2097246749135389,-0.13056288058285642
ibd_rs_prod,20,40,90,154,0.6103896103896104,0.24157680414817811,0.10538243340773423,-0.1339003148654885,-0.24438833708425012,-0.1436961601603391
ibd_rs_prod,30,20,70,695,0.5568345323741007,0.13938668817868535,0.031127139565369055,-0.11931207264884819,-0.21605026028378715,-0.1307255940633279
ibd_rs_prod,30,20,80,341,0.5542521994134897,0.21602680533258586,0.04535703862570517,-0.1347200656841444,-0.24193336140726432,-0.1446123354920729
ibd_rs_prod,30,20,90,122,0.5655737704918032,0.2644244364930553,0.07611822417086389,-0.19162619719665927,-0.2695361839312232,-0.17044055569415228
ibd_rs_prod,30,30,70,1691,0.5079834417504435,0.08031116576981503,0.004463738759956648,-0.12220051258238995,-0.19139213267838412,-0.12121206361301315
ibd_rs_prod,30,30,80,798,0.5451127819548872,0.12664208793169135,0.034943889604177825,-0.12493604838015332,-0.2119358720176581,-0.13217943001422083
ibd_rs_prod,30,30,90,213,0.6338028169014085,0.23229748041487674,0.10529899213685479,-0.12459348555544181,-0.24756345670483224,-0.14719119155790447
ibd_rs_prod,30,40,70,2496,0.49278846153846156,0.057495916736129984,-0.0031389072586868183,-0.12362117269425121,-0.1813884521576532,-0.11722038433058347
ibd_rs_prod,30,40,80,1145,0.5301310043668123,0.09995449523686123,0.02374264257110914,-0.12354315941701033,-0.1991005921335692,-0.12568553520951026
ibd_rs_prod,30,40,90,284,0.6232394366197183,0.20238502454543314,0.10155986865376165,-0.1331146551897516,-0.24000895251551538,-0.14227922356682443
