ticker,phoenix,last_combo,n_combo_180d
MRVL,roc_63_126_252_w122,2026-04-23,1
TEAM,roc_63_126_252_w122,2026-09-16,2
CRNX,roc_63_126_252_w122,2026-07-22,3
AUGO,roc_63_126_252_w122,2026-08-25,1
CRNX,roc_63_126_189_252_w1111,2026-07-07,1
META,ibd_rs_prod,2026-09-21,1
PLTR,ibd_rs_prod,2026-08-21,1
ORCL,ibd_rs_prod,2026-05-29,1
ARM,ibd_rs_prod,2026-04-10,3
UNH,ibd_rs_prod,2026-05-07,1
PANW,ibd_rs_prod,2026-05-13,1
CRWD,ibd_rs_prod,2026-05-12,1
MRVL,ibd_rs_prod,2026-03-31,1
IBM,ibd_rs_prod,2026-06-01,1
QCOM,ibd_rs_prod,2026-05-06,1
CRM,ibd_rs_prod,2026-08-27,1
SHOP,ibd_rs_prod,2026-08-10,2
BKNG,ibd_rs_prod,2026-08-20,3
FTNT,ibd_rs_prod,2026-05-08,1
LMT,ibd_rs_prod,2026-08-10,2
SNOW,ibd_rs_prod,2026-05-29,1
APP,ibd_rs_prod,2026-05-07,1
HOOD,ibd_rs_prod,2026-08-21,1
DDOG,ibd_rs_prod,2026-05-07,1
DASH,ibd_rs_prod,2026-08-21,3
BAESF,ibd_rs_prod,2026-08-12,1
URI,ibd_rs_prod,2026-04-30,1
SE,ibd_rs_prod,2026-08-11,1
CSLLY,ibd_rs_prod,2026-08-19,1
ALAB,ibd_rs_prod,2026-04-10,1
NXPI,ibd_rs_prod,2026-04-29,1
OXY,ibd_rs_prod,2026-07-20,1
F,ibd_rs_prod,2026-05-27,1
TEAM,ibd_rs_prod,2026-08-07,1
CRWV,ibd_rs_prod,2026-06-18,2
WDAY,ibd_rs_prod,2026-08-19,2
FJTSF,ibd_rs_prod,2026-09-14,1
PYPL,ibd_rs_prod,2026-08-19,2
RKLB,ibd_rs_prod,2026-08-17,2
VEEV,ibd_rs_prod,2026-08-18,2
UAL,ibd_rs_prod,2026-06-12,1
AXON,ibd_rs_prod,2026-08-10,2
ZS,ibd_rs_prod,2026-09-16,1
FINMF,ibd_rs_prod,2026-08-17,1
OKTA,ibd_rs_prod,2026-05-29,1
MDB,ibd_rs_prod,2026-06-01,3
BIDU,ibd_rs_prod,2026-05-06,1
RDDT,ibd_rs_prod,2026-07-13,1
HPQ,ibd_rs_prod,2026-07-27,2
BRDCF,ibd_rs_prod,2026-07-21,1
WTW,ibd_rs_prod,2026-08-11,2
SMCI,ibd_rs_prod,2026-09-17,2
CRCL,ibd_rs_prod,2026-05-04,1
RBRK,ibd_rs_prod,2026-06-30,2
ROKU,ibd_rs_prod,2026-04-16,1
IOT,ibd_rs_prod,2026-08-04,2
RIVN,ibd_rs_prod,2026-07-09,3
CNH,ibd_rs_prod,2026-09-02,1
FSLR,ibd_rs_prod,2026-05-26,1
USFD,ibd_rs_prod,2026-06-29,1
EVMNY,ibd_rs_prod,2026-08-27,3
U,ibd_rs_prod,2026-08-06,2
ASTS,ibd_rs_prod,2026-06-29,1
BOLSY,ibd_rs_prod,2026-09-08,1
IONQ,ibd_rs_prod,2026-05-06,1
ASND,ibd_rs_prod,2026-06-25,1
TEM,ibd_rs_prod,2026-08-25,2
CACI,ibd_rs_prod,2026-08-06,1
SWKS,ibd_rs_prod,2026-09-10,2
AUR,ibd_rs_prod,2026-05-04,1
DOCU,ibd_rs_prod,2026-08-13,1
UHAL,ibd_rs_prod,2026-06-24,1
CORT,ibd_rs_prod,2026-05-27,1
GWRE,ibd_rs_prod,2026-08-26,2
MANH,ibd_rs_prod,2026-08-05,3
SAIL,ibd_rs_prod,2026-09-14,2
TECH,ibd_rs_prod,2026-06-25,1
FROG,ibd_rs_prod,2026-05-07,1
CHYM,ibd_rs_prod,2026-08-06,1
MOH,ibd_rs_prod,2026-05-13,1
XP,ibd_rs_prod,2026-09-16,2
AVTR,ibd_rs_prod,2026-07-28,1
DRS,ibd_rs_prod,2026-07-27,1
FDS,ibd_rs_prod,2026-08-19,2
NUVL,ibd_rs_prod,2026-06-09,1
GKOS,ibd_rs_prod,2026-06-09,2
ESTC,ibd_rs_prod,2026-08-10,1
MUSA,ibd_rs_prod,2026-03-26,1
CRNX,ibd_rs_prod,2026-07-07,1
AAL,ibd_rs_prod,2026-06-12,1
CAI,ibd_rs_prod,2026-08-20,1
LNC,ibd_rs_prod,2026-07-30,1
MHK,ibd_rs_prod,2026-08-10,2
CIFR,ibd_rs_prod,2026-09-04,1
DBX,ibd_rs_prod,2026-07-17,2
COMP,ibd_rs_prod,2026-06-24,1
HNGE,ibd_rs_prod,2026-05-06,1
NTSK,ibd_rs_prod,2026-08-13,1
AUGO,ibd_rs_prod,2026-07-24,1
APPF,ibd_rs_prod,2026-08-27,1
ALKS,ibd_rs_prod,2026-03-31,1
FLR,ibd_rs_prod,2026-08-17,1
PATH,ibd_rs_prod,2026-08-06,1
BTG,ibd_rs_prod,2026-08-20,1
CAMT,ibd_rs_prod,2026-08-11,1
RYTM,ibd_rs_prod,2026-06-23,1
ETSY,ibd_rs_prod,2026-04-29,1
QBTS,ibd_rs_prod,2026-04-30,2
