kind,phoenix,window,n,hit,mean,median
MADBO only,-,-,6036,0.42362491716368456,0.023097179105363217,-0.020218668669590767
Phoenix only,roc_63_126_252_w122,-,180,0.55,0.24039458829065066,0.07407561383029615
Combo (MADBO vor Phoenix),roc_63_126_252_w122,63,138,0.5652173913043478,0.2518367752283404,0.07946262176623597
Combo (MADBO vor Phoenix),roc_63_126_252_w122,126,148,0.5743243243243243,0.25248611517894154,0.07946262176623597
Combo (MADBO vor Phoenix),roc_63_126_252_w122,252,173,0.5433526011560693,0.2335208809216618,0.06284930344854178
MADBO only,-,-,6036,0.42362491716368456,0.023097179105363217,-0.020218668669590767
Phoenix only,roc_63_126_189_252_w1111,-,83,0.7228915662650602,0.33496548412306615,0.16856569517543807
Combo (MADBO vor Phoenix),roc_63_126_189_252_w1111,63,70,0.7285714285714285,0.36621288437786476,0.18043265880594372
Combo (MADBO vor Phoenix),roc_63_126_189_252_w1111,126,75,0.7333333333333333,0.3695073647688225,0.17671087578990485
Combo (MADBO vor Phoenix),roc_63_126_189_252_w1111,252,82,0.7317073170731707,0.34405393564318676,0.17298909277386598
MADBO only,-,-,6036,0.42362491716368456,0.023097179105363217,-0.020218668669590767
Phoenix only,ibd_rs_prod,-,1254,0.45614035087719296,0.10682764275266869,0.004391183476373017
Combo (MADBO vor Phoenix),ibd_rs_prod,63,729,0.49382716049382713,0.12172668384977806,0.017708764564097867
Combo (MADBO vor Phoenix),ibd_rs_prod,126,891,0.500561167227834,0.11603874794094696,0.024734908063729577
Combo (MADBO vor Phoenix),ibd_rs_prod,252,1094,0.4789762340036563,0.11095433321309643,0.01678761277716645
