series,days,rs_from,rs_to,n,hit_rate,mean_excess,median_excess,p25_excess,mean_max_rel_dd,mean_min_rel,wins
roc_63_126_252_w112,40,30,90,113,0.6991150442477876,0.362233157393848,0.1477792342996612,-0.0946524635973301,-0.2564996163880129,-0.132659791055035,79.0
ibd_roc_63_126_189_252_w2111,40,30,90,241,0.6804979253112033,0.2591937064213934,0.1209760088508045,-0.1062156968393258,-0.2368586374667211,-0.1276419300506616,164.0
roc_63_126_252_w112,40,40,90,178,0.6741573033707865,0.3056334723722199,0.152385150712806,-0.0743706362763374,-0.2317677071900916,-0.1265938894044576,120.0
roc_63_126_252_w211,20,20,70,382,0.6282722513089005,0.2179271711711296,0.0710621673263528,-0.0784961298929653,-0.22001502668563,-0.127956168902698,240.0
ibd_roc_63_126_189_252_w2111,10,40,70,449,0.6102449888641426,0.1570077198895543,0.0648537721189714,-0.1013532401066934,-0.2148703078463382,-0.1310849300399682,274.0
roc_63_126_252_w112,40,30,80,450,0.6,0.1733268628776529,0.0765004126408447,-0.1105592520793322,-0.2137321578886709,-0.1245702648844778,270.0
roc_63_126_252_w211,30,20,70,638,0.5971786833855799,0.1643737547643633,0.0582924221978257,-0.1126182802419284,-0.2135009262398325,-0.1276849219844364,380.99999999999994
roc_63_126_252_w112,40,40,80,704,0.5894886363636364,0.1448536912956914,0.0651122514413774,-0.1082201209211754,-0.2020344858138496,-0.1179914415751676,415.0
roc_63_126_252_w211_v2,20,20,70,378,0.582010582010582,0.1802511516040326,0.0600188132678513,-0.0990687269911044,-0.1995871498804804,-0.1139743100138149,220.0
roc_63_126_252_w211,30,30,70,1162,0.5464716006884681,0.1068092547563517,0.0311956878187583,-0.1261085951387602,-0.1978149934770472,-0.1247243042353117,635.0
roc_20_100_200_w111,30,30,70,1494,0.5461847389558233,0.1080507202649997,0.0293575886567458,-0.1137612818356127,-0.1932037445168268,-0.1206333548157038,816.0
roc_63_126_252_w211,30,40,70,1806,0.5365448504983389,0.0917404219403341,0.0236988998796211,-0.1169841294781459,-0.1871793661974108,-0.1172016376479982,969.0
roc_10_50_200_w111_v2,20,20,70,2894,0.5152038700760193,0.0603866235536927,0.0083299793472439,-0.115430458769105,-0.181461075473589,-0.1202868680070681,1490.9999999999998
roc_10_50_200_w111_v2,10,40,70,5298,0.5047187617969044,0.0447928644725619,0.0025441192696882,-0.1115450781073034,-0.1781870802431586,-0.1181819892524638,2673.9999999999995
roc_10_50_200_w111_v2,40,20,70,5025,0.4951243781094527,0.0443291904392706,-0.0005077117546834,-0.1164854591722273,-0.1772961453742469,-0.1171746495860467,2488.0
roc_10_50_200_w111_v2,20,40,70,7732,0.4932747025349198,0.0376773790115379,-0.0014665577675621,-0.1107861625200902,-0.17288513036667,-0.1151303685291969,3814.0
roc_10_20_50_w123_v2,30,40,70,9627,0.4883141165472109,0.0338526381263481,-0.0037922653991482,-0.1125363224916419,-0.1720216564991859,-0.1145253254583328,4700.999999999999
roc_10_50_200_w111_v2,30,40,70,9156,0.4874399301004805,0.0334519620772515,-0.0038756017138951,-0.1115067527975114,-0.1713707499571377,-0.1142270017266964,4462.999999999999
roc_10_20_50_w123_v2,40,40,70,10694,0.4869085468487002,0.033059024069209,-0.0042197962018049,-0.1126959402238001,-0.171087393610603,-0.1137233879600927,5207.0
roc_10_50_200_w111_v2,40,40,70,10229,0.485775735653534,0.0312044654164461,-0.0043194536146105,-0.1124231913406248,-0.1701811046841007,-0.1136433289453213,4968.999999999999
