days,rs_from,rs_to,trades,weighted_hit,mean_excess,max_rel_dd
20,20,90,11850,0.5620253164556962,0.1334318817587865,-0.2301590511826706
10,20,90,4121,0.5569036641591847,0.1434725881003965,-0.24980189127957828
30,20,90,18288,0.5504155730533683,0.12225256252091095,-0.22278684185125613
10,40,90,11479,0.5482184859308302,0.12027114154526398,-0.23021945059783028
20,30,90,18157,0.5479429421159884,0.11446986332775762,-0.22305214236645535
10,30,90,7277,0.5459667445375842,0.1294828521151121,-0.240216707639871
40,20,90,25174,0.5407563359021212,0.11088062378352856,-0.21808086362371765
20,40,90,25219,0.5378087949561838,0.10032460600576455,-0.21681457426126033
30,30,90,26504,0.5373151222456988,0.10518608848511413,-0.21701223134574932
40,30,90,34531,0.5312038458196983,0.09613969198463274,-0.21336640882809602
30,40,90,34906,0.5305964590614795,0.09221135549779749,-0.21231231644280918
40,40,90,43544,0.5264789638067242,0.08587515689912564,-0.20920809705049245
10,20,80,11022,0.5247686445291235,0.1009096655820946,-0.22483135130147924
20,20,80,26691,0.5228728784983703,0.09462401639150432,-0.2078472404623995
10,20,70,21661,0.5162273209916439,0.08684632405627217,-0.20995365972735955
10,30,80,20336,0.5158831628638867,0.08660184417789726,-0.21344667028018893
10,40,80,32330,0.5147540983606558,0.078577633012292,-0.20405921811442893
30,20,80,38677,0.5136385965819479,0.08296791591388777,-0.2016376248248386
20,30,80,42003,0.5101540366164321,0.07664637327049181,-0.2000539123985764
20,20,70,44952,0.5084534614700125,0.07333855353582766,-0.19558590901719572
10,30,70,39989,0.5058641126309735,0.07007503187253553,-0.1985352897745128
40,20,80,50613,0.5031118487345149,0.07218651196885931,-0.19744531090039324
30,20,70,61295,0.5015906680805938,0.06311814828604817,-0.19047464495659708
20,40,80,59358,0.5010950503723172,0.06457072560505132,-0.1934406286787709
30,30,80,57265,0.5006723129311097,0.06697422756150519,-0.1953342342613455
10,40,70,64640,0.49716893564356435,0.058018207950261455,-0.18946891636841678
20,30,70,71651,0.49584792954738943,0.05696540719554422,-0.18752050881650423
40,20,70,76638,0.4936715467522639,0.055161841136136355,-0.18673786118936664
40,30,80,71179,0.49267340086261396,0.05936530089853759,-0.19219331816303595
30,40,80,76441,0.49215735011315914,0.05603756943396119,-0.19027039025267548
30,30,70,91764,0.49151083213460617,0.04998036284069144,-0.18320562302879087
20,40,70,101364,0.4880036304802494,0.046569648557106484,-0.18125390420283732
40,30,70,108824,0.4865746526501507,0.044637851791196476,-0.1804865914283036
40,40,80,90601,0.4862639485215395,0.05078705806608623,-0.18814846146116251
30,40,70,122057,0.4854862891927542,0.041626016394011166,-0.17821400219769062
40,40,70,137750,0.48153176043557167,0.03819283802845543,-0.17640432022362246
