series,trades,configs,weighted_hit,mean_excess,median_excess,max_rel_dd,min_rel
ibd_roc_63_126_189_252_w2111,14568,31,0.5666529379461834,0.1351400022702026,0.047203074529443195,-0.2112164823760263,-0.12954862785410876
roc_63_126_252_w112,10195,29,0.5561549779303581,0.16405869407525886,0.04308705367884259,-0.21049527309580093,-0.12681455654899365
roc_63_126_252_w211,19471,34,0.5496379230650711,0.12759745057392213,0.03664375809824144,-0.20766470765999823,-0.12949142294271201
roc_20_100_200_w111,25195,35,0.5435602302044056,0.11990270885461717,0.03065900367673706,-0.20731190937129618,-0.12752592924748024
roc_50_100_200_w211,27596,35,0.5265618205537035,0.10186414486486829,0.020526060103383027,-0.20790296866923946,-0.131063731155145
ibd_rs_prod,25499,34,0.5243342876191223,0.10702480476338996,0.01971501064483752,-0.20170371017958807,-0.12659965837640286
roc_10_50_200_w111,38096,36,0.5227320453590928,0.0919873509726455,0.018553563535724675,-0.20867904253584107,-0.13293008299591302
roc_20_60_120_w111,47852,36,0.5197901864080916,0.09442838022676057,0.01650312686731263,-0.20366197169230355,-0.12924404266575487
roc_21_63_126_w111,45073,36,0.5184034788010561,0.09509204566570074,0.014450575485915348,-0.2038053497839322,-0.128728799177728
roc_63_126_252_w211_v2,23177,33,0.516373991457048,0.096828917914328,0.014837464533242889,-0.19554530610746296,-0.12098904478685638
roc_20_50_100_w123,43405,36,0.5119456283838267,0.09564782004444712,0.013559994945736427,-0.20312223565143292,-0.12924635422673758
roc_5_20_60_w111,156128,36,0.5030808054929289,0.06545918284250257,0.005792987996812517,-0.198346511492392,-0.12883031710343015
roc_10_20_50_w123,121068,36,0.5020732150526976,0.06219276275446054,0.004761660930035687,-0.19771936536560522,-0.12878310394545212
roc_20_50_100_w111,61063,36,0.49956602197730215,0.0787513190736086,0.00449881174735139,-0.20278909014530364,-0.13109198421285853
roc_50_20_20_w1_1_1.3,160663,36,0.4973329266850488,0.05395470257118071,0.0014515108605382457,-0.1949992684267305,-0.12785049957657413
roc_10_20_50_w123_v2,152831,36,0.49705229959890335,0.050062835472135594,0.0010528821193010222,-0.18730680518946638,-0.12259153198710024
roc_20_50_100_w321,95688,36,0.495673438675696,0.06782981090393386,0.0016476822954754656,-0.19886692895541705,-0.1290765439504163
roc_10_50_200_w111_v2,122931,36,0.49550560883747796,0.04951462955924445,-9.669196648911397e-06,-0.1830334642353692,-0.1194981635789808
roc_50_20_20_w1_1_1.3_v2,186758,36,0.4953683376348001,0.05166859601647392,0.0006042524819252156,-0.1887122192003849,-0.12372142994011118
roc_20_50_100_w111_v2,83660,36,0.49267272292612957,0.061814659635235095,-0.0011107643327463513,-0.18766433668884208,-0.12186925182735862
roc_5_20_60_w111_v2,319234,36,0.4902673274149997,0.04618307452254739,-0.0024634985880703135,-0.18317827846004714,-0.12084476590668314
